station_ID;latitude;longitude;elevation_m;observation_time;temperature;dewpoint;wind_dir_degrees;wind_speed;pressure_hpa
KLAX;33.93;-118.38;46;2018-04-29T10:53:00Z;13.3;10;50;6;1014
SBGL;-22.82;-43.25;6;2018-04-29T11:00:00Z;24;20;100;4;1020
FAOR;-26.12;28.22;1700;2018-04-29T11:00:00Z;22;7;340;15;1027
KMIA;25.8;-80.28;3;2018-04-29T10:53:00Z;21.1;19.4;350;7;1017
SCEL;-33.37;-70.77;476;2018-04-29T11:00:00Z;9;8;130;6;1019
KMCI;39.3;-94.73;320;2018-04-29T10:53:00Z;8.3;0;130;17;1022
OMAA;24.42;54.63;27;2018-04-29T11:00:00Z;37;11;320;33;1006
PAFA;64.8;-147.85;132;2018-04-29T10:53:00Z;1.7;-3.3;60;6;1008
KJFK;40.63;-73.77;9;2018-04-29T11:13:00Z;11.1;10;250;17;1012
SKBO;4.7;-74.12;2548;2018-04-29T11:00:00Z;11;10;0;4;1028
ZSNJ;31.75;118.87;33;2018-04-29T11:00:00Z;24;20;280;4;1007
TXKF;32.37;-64.68;6;2018-04-29T10:55:00Z;22;21;180;35;1017
LEMD;40.48;-3.57;582;2018-04-29T11:30:00Z;11;5;230;31;1010
EDDT;52.57;13.32;37;2018-04-29T11:20:00Z;22;6;120;13;1010
HECA;30.12;31.38;74;2018-04-29T11:30:00Z;34;3;310;11;1012
HRYR;-1.97;30.12;1497;2018-04-29T11:30:00Z;23;17;0;6;1020
EGLL;51.48;-0.45;24;2018-04-29T11:20:00Z;7;5;10;17;1011
VTBD;13.92;100.6;3;2018-04-29T11:30:00Z;29;25;180;15;1008
YSSY;-33.95;151.17;3;2018-04-29T11:30:00Z;16;14;130;24;1025
KSEA;47.45;-122.32;136;2018-04-29T10:53:00Z;8.9;7.8;200;15;1015
RJTT;35.53;139.77;8;2018-04-29T11:30:00Z;21;14;200;33;1017
GMMX;31.62;-8.02;466;2018-04-29T11:30:00Z;16;9;70;13;1019
UUEE;55.97;37.42;190;2018-04-29T11:30:00Z;15;2;330;15;1019
